longitude,latitude
35.0841034,-106.6509851
39.2039094,-76.6597094
27.9658533,-82.8001026
46.2804298,-119.2752055
40.7127281,-74.0060152
32.7762719,-96.7968559
39.2908816,-76.610759
37.3361905,-121.8905833
43.157285,-77.615214
40.7127281,-74.0060152
37.3361905,-121.8905833
38.8941543,-77.4311513
33.0136764,-96.6925096
47.6038321,-122.3300624
42.3750997,-71.1056157
40.735657,-74.1723667
42.3750997,-71.1056157
51.6878246,-114.2502063
46.8443248,-71.2743272
39.7392364,-104.9848623
47.6038321,-122.3300624
32.7762719,-96.7968559
41.8755616,-87.6244212
38.2542376,-85.759407
38.9695316,-77.3859479
42.3750997,-71.1056157
45.5228939,-122.989827
42.2625932,-71.8022934
41.3506989,-72.0773654
42.3315509,-83.0466403
42.3750997,-71.1056157
44.7858558,-63.693173
42.679273,-70.8411583
37.3361905,-121.8905833
34.055735,-117.1888961
42.4792618,-71.1522766
49.2850624,-123.13581745077204
40.5885116,-73.657861
46.8443248,-71.2743272
42.3459271,-71.5522874
46.8443248,-71.2743272
41.0414858,-74.129032
41.8755616,-87.6244212
47.6144219,-122.1923372
40.1672117,-105.1019287
39.7092262,-84.0632685
40.6938609,-89.5891008
26.1223084,-80.1433786
42.3602534,-71.0582912
34.729847,-86.5859011
41.1330485,-73.71262371614495
32.7174209,-117.1627714
35.0841034,-106.6509851
46.8443248,-71.2743272
38.6268039,-90.1994097
39.1014537,-84.5124602
40.7127281,-74.0060152
37.4443293,-122.1598465
46.2804298,-119.2752055
40.5184013,-80.1667247
42.2792625,-71.416172
33.7490987,-84.3901849
42.3602534,-71.0582912
39.9527237,-75.1635262
45.6306954,-122.6744557
39.7683331,-86.1583502
42.2586342,-87.840625
38.7150511,-90.435999
38.029306,-78.4766781
40.4416941,-79.9900861
45.6306954,-122.6744557
51.6878246,-114.2502063
42.3750997,-71.1056157
38.8941543,-77.4311513
37.3361905,-121.8905833
46.8443248,-71.2743272
40.2663107,-76.8861122
39.0992752,-76.8483061
41.8755616,-87.6244212
38.8903961,-77.0841585
47.2495798,-122.4398746
25.7742658,-80.1936589
34.729847,-86.5859011
29.9499323,-90.0701156
46.8443248,-71.2743272
33.7490987,-84.3901849
38.9340002,-76.8966397
38.8464867,-76.6969878
38.848724,-76.9238625
38.9342888,-77.1776327
38.72821225,-77.15098291295884
43.0349931,-87.922497
38.9959461,-77.0276231
40.7127281,-74.0060152
43.0481221,-76.1474244
29.7589382,-95.3676974
38.8949924,-77.0365581
35.2272,-80.843083
42.4733689,-83.2218731
40.41483,-74.2295891
33.4484367,-112.0741417
41.2587459,-95.9383758
46.8443248,-71.2743272
40.8120247,-74.1242816
46.8443248,-71.2743272
46.8443248,-71.2743272
40.2153151,-86.0263746
39.0840054,-77.1527573
44.9772995,-93.2654692
34.0536909,-118.2427666
35.2272,-80.843083
42.3750997,-71.1056157
39.1014537,-84.5124602
38.8949924,-77.0365581
41.8755616,-87.6244212
39.2908816,-76.610759
33.2442813,-86.8163773
33.9480787,-118.0691499
39.100105,-94.5781416
39.0437192,-77.4874899
41.8755616,-87.6244212
38.9695316,-77.3859479
32.753177,-97.3327459
43.78781975,-79.44753650670998
38.1061979,-122.5681191
39.729432,-104.8319196
40.7127281,-74.0060152
41.8755616,-87.6244212
39.7392364,-104.9848623
40.5220027,-111.9391003
46.8443248,-71.2743272
40.4416941,-79.9900861
46.2804298,-119.2752055
38.8949924,-77.0365581
41.8755616,-87.6244212
39.1014537,-84.5124602
35.0457219,-85.3094883
46.2804298,-119.2752055
27.9658533,-82.8001026
39.7683331,-86.1583502
42.3750997,-71.1056157
40.2688105,-74.8006895
42.3602534,-71.0582912
37.6535403,-122.4168664
37.3228934,-122.0322895
42.3602534,-71.0582912
39.4142186,-77.4109269
37.3361905,-121.8905833
40.5220027,-111.9391003
